IDL> .r strahl_ensteps_mode6
% Compiled module: $MAIN$.
STRAHL: step   energy(eV)
       1      19.3417
       2      38.6834
       3      58.0252
       4      77.3669
       5      96.7086
       6      116.050
       7      135.392
       8      154.734
       9      174.075
      10      193.417
      11      212.759
      12      232.101
      13      251.442
      14      270.784
      15      290.126
      16      309.467
      18      348.151
      20      386.834
      22      425.518
      24      464.201
      26      502.885
      28      541.568
      30      580.251
      32      618.935
      36      696.302
      40      773.669
      44      851.036
      48      928.402
      52      1005.77
      56      1083.14
      60      1160.50
      64      1237.87
maximum: 127      2456.40
 
 
VEIS: step   energy(eV)
       1      8.31900
       3      10.7865
       5      13.9590
       7      17.9775
       9      22.9830
      11      29.8215
      13      38.4225
      15      49.9140
      17      63.7320
      20      94.2585
      23      139.026
      26      203.816
      29      298.568
      32      442.670
      35      659.739
      38      973.746
IDL> 
