Last BS crossing      1st hr kept       Last hr kept       1st BS crossing
----------------------------------------------------------------------------
94 316 16:02.5         94 316 17         94 319 20          94 319 20:55.5

94 320 21:14.5         94 320 22         94 334 18          94 334 19:17.5

94 335 12:08.5         94 335 13         94 346 10          94 346 11:46.5

94 347 07:20.5         94 347 08         94 357 22          94 357 23:13.5

94 359 06:12.5         94 359 07         95 213 19          95 213 18:04.5

95 215 01:00.0         95 215 01         95 231 17          95 231 18:19.5

95 232 23:51.5         95 233 00         95 259 04          95 259 05:01.5

95 261 04:46.5         95 261 05         95 331 05          95 331 06:06.5

95 333 22:45.5         95 333 23         95 354 20          95 354 21:17.5

95 356 14:11.5         95 356 15         96 012 13          96 012 14:57.5

96 014 07:56.5         96 014 08         96 086 15          96 086 16:09.5

96 088 14:43.5         96 088 15         96 108 12          96 108 13:58.5

96 110 10:05.5         96 110 11         96 130 11          96 130 13:53.5

96 132 02:45.5         96 132 03         96 232 10          96 232 11:41.5

96 233 09:30.5         96 233 10         96 255 07          96 255 08:39.5

96 256 08:30.5         96 256 09         96 277 23          96 278 00:54.5

96 279 06:26.5         96 279 07         96 320 05          96 320 06:33.5

96 321 19:59.5         96 321 20         96 337 15          96 337 16:55.5

96 339 02:37.5         96 339 03         96 364 23          96 365 00:34.5

97 001 17:14.5         97 001 18         97 162 03          97 162 04:12.5      

97 163 14:24.5         97 163 15         97 184 10          97 184 11:28.5

97 185 21:42.5         97 185 22         97 206 14          97 206 15:32.5

97 208 03:09.5         97 208 04         97 250 21          97 250 22:13.5

97 252 19:23.5         97 252 20         97 272 08          97 272 09:42.5

97 274 16:02.5         97 274 17         97 293 15          97 293 16:24.5

97 295 17:05.5         97 295 06         98 182 14          98 182 15:00.5

98 184 12:33.5         98 184 13         98 204 23          98 205 01:15.5

98 206 10:04.5         98 206 13         98 227 05          98 227 06:55.5

98 229 01:39.5         98 229 02         98 298 20          98 298 21:34.5

98 299 19:15.5         98 299 20         98 317 04          98 317 05:45.5

98 318 04:25.5         98 318 05         98 331 07          98 331 08:05.5

98 332 23:33.5         98 333 00         98 348 02          98 348 03:23.5

98 349 16:49.5         98 349 17         99 001 14          99 001 15:46.5

99 003 11:46.5         99 003 12         99 018 00          99 018 01:27.5

99 020 13:00.0         99 020 14         99 035 10          99 035 11:25.5

99 038 07:21.5         99 038 09         99 053 04          99 053 05:22.5

99 058 09:43.5         99 058 10         99 070 00          99 070 01:00.5

99 095 14:11.5         99 095 12         99 111 11          99 111 12:36.5

99 113 20:24.5         99 113 21         99 125 18          99 125 19:47.5

99 128 08:17.5         99 128 09         99 229 17          99 229 19:14.5

99 231 15:51.5         99 231 16         99 251 08          99 251 09:39.5

99 253 02:27.5         99 253 03         99 272 21          99 272 22:45.5

99 274 15:30.5         99 274 16         99 285 18          99 285 19:49.5

99 288 21:36.5         99 288 22         99 302 16          99 302 17:36.5

99 305 07:40.5         99 305 08         99 318 01          99 318 02:15.0

99 321 15:30.0         99 322 12         99 334 11          99 334 12:17.5

99 340 18:50.5         99 340 19         99 347 15          99 347 16:07.5

99 348 10:38.5         99 348 11         99 350 16          99 350 17:45.0

00 025 05:31.5         00 025 06         00 100 11          00 100 12:58.5

00 101 15:25.0         00 101 16         00 122 23          00 123 00:50.8

00 124 12:13.5         00 124 13         00 146 07          00 146 08:40.5

00 147 16:50.5         00 147 17         00 162 00          00 162 01:29.0

00 163 06:20.3         00 163 07         00 178 10          00 178 11:15.5

00 179 18:43.5         00 179 19         00 191 15          00 191 16:13.3

00 193 19:04.3         00 193 20         00 204 20          00 204 21:43.7

00 208 02:08.3         00 208 03         00 216 13          00 216 14:04.1

00 219 19:40.5         00 219 20         00 223 21          00 223 22:05.7

00 232 22:10.3         00 232 23         01 047 03          01 047 04:37.2

01 058 12:26.2         01 058 13         01 251 07          01 251 08:11.6

01 255 00:18.9         01 255 01         01 276 03          01 276 04:00.5

01 277 10:12.2         01 277 11         01 296 05          01 296 06:54.2

01 298 03:44.5         01 298 04         01 318 00          01 318 01:14.0

01 320 06:43.5         01 320 07         01 335 20          01 335 21:48.2

01 339 05:48.5         01 339 06         02 199 12          02 199 13:07.2

02 203 01:49.5         02 203 02         02 220 21          02 220 22:08.3

02 222 12:52.2         02 222 13         02 240 19          02 240 20:07.8

02 242 13:26.2         02 242 14         02 260 09          02 260 10:43.0

02 261 16:29.8         02 261 17         02 282 12          02 282 13:41.7

02 283 09:28.3         02 283 10         02 305 01          02 305 02:24.8

02 305 21:25.2         02 305 22         02 331 14          02 331 16:14.9

02 332 16:37.5         02 332 17         03 224 15          03 224 16:42.5

03 233 07:14.5         03 233 08         03 286 13          03 286 14:50.5

04 062 00:00.0         04 062 00         04 108 00          04 108 00:00.0

04 120 00:00.0         04 120 00         65 364 00          65 364 00:00.0
